country,target_iso3,source_year,analysis_scope,n_mentions,n_speeches,n_speakers,mean_concreteness,mean_sentiment
ESP,ARM,2022,external_target_salience,2,2,2,3.1805000000000003,0.730500016361475
EST,ARM,2019,external_target_salience,2,2,2,3.231,0.8915000036358833
FIN,ARM,2016,external_target_salience,1,1,1,3.2,0.05000000074505806
FRA,ARM,2019,external_target_salience,3,2,2,3.193,3.040000041325887
FRA,ARM,2020,external_target_salience,61,14,12,3.2378032786885247,2.590655755434857
FRA,ARM,2021,external_target_salience,2,2,2,3.2590000000000003,2.8009999990463257
GRC,ARM,2016,external_target_salience,1,1,1,3.17,3.8519999980926514
GRC,ARM,2020,external_target_salience,2,2,2,3.23,2.6080000400543213
HRV,ARM,2017,external_target_salience,1,1,1,3.21,2.9539999961853027
HRV,ARM,2018,external_target_salience,1,1,1,3.192,3.7750000953674316
HRV,ARM,2019,external_target_salience,1,1,1,3.21,1.6619999408721924
HUN,ARM,2016,external_target_salience,1,1,1,3.126,2.509999990463257
HUN,ARM,2017,external_target_salience,1,1,1,3.124,0.15700000524520874
